account,name,link,keywords,language
@bbonucci@genomic.social,Biancamaria Bonucci,https://genomic.social/@bbonucci,ancient_dna metagenomics microbiome,en it
@mikleonardi@ecoevo.social,Michela Leonardi,https://ecoevo.social/@mikleonardi,population_genetics paleoclimate paleoecology,en it fr
@AshAshild@genomic.social,Åshild Vågene,https://genomic.social/@AshAshild,metagenomics pathogens,en
@ThierryGrange@mastodon.social,Thierry Grange,https://mastodon.social/@ThierryGrange,evolutionary_genomics domestication population_dynamics,en fr
@scottinthesea@ecoevo.social,Carly Scott,https://ecoevo.social/@scottinthesea,ancient_dna coral_genomics,en
@isinaltinkaya,Isin Altinkaya,https://genomic.social/@isinaltinkaya,bioinformatics statistical_genomics population_genetics,en
@arevsumer,Arev Pelin Sümer,https://ecoevo.social/@arevsumer,population_genetics ancient_dna archaic_humans,en
@markella_moraitou,Markella Moraitou,https://ecoevo.social/@markella_moraitou,metagenomics microbiomes,gr en
@hringbauer@ecoevo.social,Harald Ringbauer,https://ecoevo.social/@hringbauer,ancient_dna population_genetics bioinformatics,en
@larusnz@ecoevo.social,Jamie Wood,https://ecoevo.social/@larusnz,environmental_dna palaeoecology evolution,en
@PalaeoPete@mastodon.social,Pete Heintzman,https://mastodon.social/@PalaeoPete,ancient_dna sediments paleontology,en
@Sallywasef@genomic.social,Sally Wasef,https://genomic.social/@Sallywasef,palaeogenomics forensics ancient_dna,en
@ezgi@ecoevo.social,Ezgi Altınışık,https://ecoevo.social/@ezgi,ancient_dna population_history anatolia anthropology,en tr
@Gunnar_Neumann@ecoevo.social,Gunnar Neumann,https://ecoevo.social/@Gunnar_Neumann,pathogens,en de
@jfy133@genomic.social,James Fellows Yates,https://genomic.social/@jfy133,metagenomics bioinformatics microbiomes,en
